Fighter name,Ko wins,Ko losses,Submission wins,Submission losses,Decision wins,Decision losses
Herb Dean,1,1,1,2,0,0
Tom DeBlass,4,0,3,0,2,2
Rolando Delgado,2,3,6,0,3,3
Roland Delorme,2,2,7,1,1,3
Roland Delorme,2,2,7,1,1,3
Jon Delos Reyes,3,1,5,3,0,1
Chris Dempsey,2,5,3,1,6,0
Nick Denis,10,1,1,2,0,0
Thomas Denny (fighter),7,5,16,10,4,6
Jason Dent,3,2,19,2,0,9
Tony DeSouza,1,4,7,0,3,0
Cory Devela,3,2,8,4,5,1
Edwin Dewees,4,8,30,6,4,4
Ousmane Thomas Diagne,4,5,0,2,2,1
Hacran Dias,3,0,10,0,12,6
Rafael Dias (mixed martial artist),2,5,11,1,4,5
Nate Diaz,4,1,12,1,4,9
Alessio Di Chirico,5,0,4,1,3,3
Josh Diekmann,11,1,4,6,0,1
Seth Dikun,1,1,5,4,3,3
T.J. Dillashaw,8,2,3,0,5,2
Rosen Dimitrov,5,2,13,0,3,1
Rumen Dimitrov,6,0,5,0,2,0
Russell Doane,7,0,5,5,3,3
Drew Dober,8,1,6,3,7,5
John Dodson (fighter),9,0,2,0,9,11
Joe Doerksen,8,5,35,6,8,5
C. B. Dollaway,6,5,3,2,7,2
Cody Donovan,4,5,3,0,1,0
Rafael dos Anjos,5,2,10,1,14,9
Junior dos Santos,15,4,1,1,5,1
David Douglas (fighter),9,7,1,2,0,0
Danny Downes,5,0,1,1,2,2
Jared Downing,1,1,1,1,7,4
Tomasz Drwal,12,2,6,2,3,1
Robert Drysdale,0,0,7,0,0,0
Joe Duarte,10,3,5,0,2,1
Todd Duffee,9,3,0,0,0,0
Kelly Dullanty,2,1,0,1,2,0
Evan Dunham,3,4,6,1,9,3
Tom Duquesnoy,8,0,4,1,4,1
Reuben Duran,4,2,5,1,4,4
Matt Dwyer,9,2,0,0,2,2
Mike Easton,4,1,2,0,7,5
Brian Ebersole,14,1,20,9,17,8
Mark Eddiva,3,1,2,1,1,1
Frankie Edgar,7,1,4,0,12,6
Carlos Eduardo (fighter),6,1,8,0,3,3
Johnny Eduardo,9,1,13,9,7,2
Justin Edwards (fighter),1,2,8,1,1,3
Leon Edwards,6,0,3,0,9,2
Justin Eilers,12,4,6,0,1,3
John-Olav Einemo,1,1,5,0,0,2
Per Eklund (fighter),3,3,7,0,4,2
Darren Elkins,8,3,4,1,12,4
Jake Ellenberger,19,7,6,2,6,6
Tim Elliott,3,1,6,3,6,4
Jason Ellis (radio host),0,0,2,0,0,0
Alexander Emelianenko,20,4,5,3,3,0
Fedor Emelianenko,14,5,15,1,9,0
Rob Emerson,5,0,6,2,8,12
Josh Emmett,6,1,2,0,7,1
Yasubey Enomoto,3,4,5,1,10,6
Cole Escovedo,6,4,10,1,1,4
Efrain Escudero,2,0,15,2,13,14
Braulio Estima,0,0,1,0,0,0
Terry Etim,2,1,12,1,2,3
Billy Evangelista,5,0,0,1,8,2
Doug Evans (fighter),2,3,8,5,3,3
Rashad Evans,7,3,2,0,10,5
Dan Evensen,7,3,1,1,2,0
Edward Faaloloto,0,2,1,2,1,1
Urijah Faber,10,3,17,0,7,7
Wagnney Fabiano,2,0,9,2,5,2
Maiquel Falcão,24,9,7,3,7,1
Gustavo Falciroli,3,1,10,0,4,5
Brodie Farber,4,4,10,2,2,1
Paul Felder,10,1,1,0,6,3
Tony Ferguson,12,0,8,1,5,2
Bibiano Fernandes,2,1,8,0,12,3
Alexandre Ferreira (fighter),0,2,17,2,1,1
Carlos Diego Ferreira,3,1,6,0,7,1
Cezar Ferreira,3,4,4,0,6,4
Scott Ferrozzo,2,1,1,1,1,0
Drew Fickett,3,12,31,4,8,5
Deiveson Figueiredo,9,0,5,0,3,1
Edwin Figueroa,6,1,2,0,1,4
Paulo Filho,3,0,10,0,10,6
Andre Fili,9,2,3,2,8,2
Mirko Cro Cop,30,6,4,2,4,3
Perry Filkins,6,0,1,0,1,1
Luigi Fioravanti,11,7,6,2,9,6
Luiz Firmino,2,1,7,2,11,7
Jason Fischer (fighter),3,0,4,0,6,4
Spencer Fisher,10,2,9,1,5,6
Jon Fitch,6,2,6,3,20,2
Kenny Florian,3,1,9,1,2,4
Caros Fodor,2,0,5,2,4,4
Eduard Folayang,6,4,2,2,13,2
Jesse Forbes,6,2,8,1,1,2
Jussier Formiga,0,3,10,0,13,3
Renée Forte,2,2,2,1,4,1
Kenny Foster,1,1,5,5,5,4
Hermes França,8,9,15,0,3,10
John Franchi,2,0,2,1,2,1
Rich Franklin,15,5,10,0,4,2
Ian Freeman,9,4,7,3,4,0
Patrício Freire,10,1,11,0,9,3
Patricky Freire,13,2,1,1,7,5
Willamy Freire,8,1,10,2,7,3
Clay French,2,2,11,5,6,0
Tony Fryklund,6,5,8,3,0,1
Yutaka Fuji,0,0,0,3,0,0
Katsuhisa Fujii,3,7,3,6,3,5
Mitsuo Fujikura,0,0,1,1,0,0
Kazuyuki Fujita,7,8,9,2,2,4
Yuji Fujita,0,0,0,3,1,3
Keisuke Fujiwara,7,1,4,1,5,7
Masato Fujiwara,1,2,2,2,2,8
Riki Fukuda,11,3,1,0,12,6
Satoshi Fukuoka,0,0,0,2,0,0
Travis Fulton,104,13,143,26,8,14
Masakatsu Funaki,5,3,34,8,1,2
Ricardo Funch,5,1,1,4,3,1
Ricardo Fyeet,4,0,0,6,0,0
Mitch Gagnon,1,0,10,2,1,3
Vener Galiev,13,4,4,3,12,3
Mickey Gall,0,1,5,0,1,1
